16 9 2 2
40 102 3 0
6 93 0 0
129 134 2 2
55 100 0 1
91 54 1 0
131 83 1 3
7 107 1 3
79 105 0 2
105 55 1 2
102 79 1 2
107 131 1 3
9 7 4 1
134 40 0 4
54 16 3 1
83 91 2 2
93 129 1 2
100 6 1 0
129 100 2 1
7 93 3 0
83 54 2 0
16 107 1 0
40 55 3 0
6 105 3 0
79 134 0 1
91 102 1 0
131 9 1 1
9 6 1 1
134 91 2 1
102 7 0 1
107 83 3 0
54 131 2 1
55 129 3 2
93 79 1 1
105 16 1 0
100 40 1 1
7 134 3 0
83 102 4 2
91 100 2 1
16 93 3 0
40 9 1 1
6 129 2 0
79 55 2 2
131 105 1 2
107 54 1 2
129 91 0 0
54 7 3 2
9 83 3 0
134 16 4 1
100 79 1 0
93 131 1 2
102 107 2 0
105 40 1 4
55 6 0 3
7 100 0 3
54 102 1 3
131 134 1 1
107 9 0 2
16 129 1 0
40 93 5 0
79 6 1 2
83 55 0 2
91 105 0 1
9 54 1 0
134 83 8 1
6 40 0 1
100 131 2 2
129 79 3 3
105 7 3 1
102 16 2 1
55 107 2 1
93 91 2 2
7 129 2 1
54 93 0 0
83 100 0 1
16 55 0 2
9 105 0 2
131 102 1 0
107 134 1 3
40 79 3 0
91 6 2 1
93 107 1 2
102 9 1 1
134 54 3 2
6 7 2 2
79 91 5 1
100 16 4 1
129 40 1 2
55 131 2 2
105 83 0 0
91 55 0 0
131 79 3 1
102 105 0 0
16 6 1 0
9 134 1 1
54 129 2 0
83 93 1 1
7 40 0 0
107 100 0 1
93 9 1 0
55 7 2 1
134 102 1 0
40 91 0 0
6 83 4 0
79 16 0 1
100 54 2 1
129 131 5 3
105 107 1 0
107 129 0 2
102 93 3 2
16 40 3 1
9 100 1 1
134 105 4 0
7 91 1 1
54 55 1 0
83 79 3 1
131 6 1 2
105 54 2 1
40 131 2 1
6 107 4 1
129 83 3 0
55 9 2 3
93 134 0 2
91 16 1 4
79 7 2 0
100 102 2 0
102 55 0 3
93 105 2 0
131 91 2 2
16 7 1 2
9 129 1 0
134 100 2 1
54 6 0 3
83 40 0 1
107 79 1 0
7 83 6 1
55 134 4 3
91 9 2 2
100 93 0 0
129 105 2 2
16 131 3 1
40 107 0 0
6 102 3 0
79 54 2 1
93 55 5 1
131 7 4 0
105 100 1 1
9 79 2 1
134 6 5 2
54 40 0 0
83 16 2 0
102 129 2 0
107 91 0 1
102 40 1 2
93 6 2 3
105 79 2 0
107 7 3 3
100 55 1 1
54 91 0 3
83 131 0 1
134 129 1 2
9 16 4 1
91 83 2 1
129 93 3 3
55 105 2 2
79 102 1 1
131 107 2 1
6 100 1 1
16 54 1 3
7 9 2 3
40 134 1 1
9 131 1 2
93 7 0 2
54 83 1 0
102 91 1 0
107 16 2 3
105 6 2 2
134 79 2 0
100 129 3 0
55 40 0 3
129 55 2 1
6 9 1 0
91 134 1 0
16 105 3 1
7 102 1 0
83 107 0 2
131 54 0 0
40 100 1 1
79 93 1 1
54 107 2 0
55 79 2 1
134 7 2 0
102 83 1 1
9 40 0 1
105 131 3 1
129 6 2 0
100 91 4 1
93 16 0 1
7 54 1 1
83 9 0 2
16 134 6 3
131 93 3 0
40 105 2 0
107 102 1 1
91 129 1 1
79 100 0 0
6 55 2 0
9 107 2 1
129 16 1 1
93 40 2 0
100 7 1 0
102 54 0 0
55 83 2 2
105 91 0 1
134 131 0 1
6 79 4 1
91 93 2 1
7 105 1 1
16 102 4 1
40 6 2 1
131 100 1 1
79 129 1 1
107 55 1 1
54 9 1 2
83 134 1 1
102 131 0 1
134 107 1 2
100 83 1 1
6 91 0 2
105 9 0 0
79 40 1 1
129 7 3 3
93 54 2 1
55 16 0 0
107 93 0 1
83 105 1 0
9 102 1 0
131 55 3 2
54 134 1 2
91 79 1 3
16 100 1 0
40 129 3 1
7 6 2 1
129 54 1 1
93 83 1 0
55 91 2 1
134 9 5 1
105 102 1 2
100 107 0 1
40 7 5 0
6 16 3 0
79 131 1 0
102 134 1 2
54 100 0 0
131 129 0 1
9 93 5 0
107 105 0 1
7 55 1 3
91 40 1 3
83 6 1 0
16 79 3 0
91 7 1 1
55 54 2 2
79 83 2 2
100 9 0 1
105 134 3 3
93 102 2 1
129 107 1 1
6 131 2 2
40 16 4 1
7 79 0 0
102 100 1 3
83 129 2 0
9 55 1 1
134 93 2 0
16 91 4 1
54 105 3 1
131 40 0 0
107 6 3 2
7 16 3 2
129 9 0 3
105 93 1 1
55 102 3 0
79 107 2 0
91 131 2 3
100 134 0 1
6 54 1 2
40 83 2 0
131 16 4 0
107 40 2 3
102 6 1 2
54 79 1 0
93 100 2 0
105 129 1 3
83 7 2 2
134 55 6 1
9 91 1 0
79 9 0 2
6 134 0 1
40 54 4 1
16 83 2 2
55 93 4 0
7 131 2 4
100 105 7 0
129 102 1 2
91 107 4 2
